date,name,value
03-03-2020,BUENOS AIRES,1
04-03-2020,BUENOS AIRES,1
05-03-2020,CABA,1
05-03-2020,BUENOS AIRES,1
06-03-2020,CÓRDOBA,1
06-03-2020,BUENOS AIRES,2
06-03-2020,CABA,5
07-03-2020,CÓRDOBA,1
07-03-2020,BUENOS AIRES,2
07-03-2020,CABA,6
08-03-2020,CÓRDOBA,1
08-03-2020,BUENOS AIRES,3
08-03-2020,CABA,8
09-03-2020,CÓRDOBA,1
09-03-2020,RÍO NEGRO,1
09-03-2020,SAN LUIS,1
09-03-2020,CHACO,2
09-03-2020,BUENOS AIRES,3
09-03-2020,CABA,9
10-03-2020,CÓRDOBA,1
10-03-2020,RÍO NEGRO,1
10-03-2020,SAN LUIS,1
10-03-2020,CHACO,2
10-03-2020,BUENOS AIRES,4
10-03-2020,CABA,10
11-03-2020,CÓRDOBA,1
11-03-2020,RÍO NEGRO,1
11-03-2020,SAN LUIS,1
11-03-2020,CHACO,2
11-03-2020,BUENOS AIRES,5
11-03-2020,CABA,11
12-03-2020,RÍO NEGRO,1
12-03-2020,SAN LUIS,1
12-03-2020,CÓRDOBA,2
12-03-2020,CHACO,4
12-03-2020,BUENOS AIRES,8
12-03-2020,CABA,14
13-03-2020,RÍO NEGRO,1
13-03-2020,SAN LUIS,1
13-03-2020,CÓRDOBA,2
13-03-2020,CHACO,4
13-03-2020,BUENOS AIRES,9
13-03-2020,CABA,16
14-03-2020,RÍO NEGRO,1
14-03-2020,SANTA FE,1
14-03-2020,SAN LUIS,1
14-03-2020,CÓRDOBA,2
14-03-2020,CHACO,5
14-03-2020,BUENOS AIRES,11
14-03-2020,CABA,23
15-03-2020,RÍO NEGRO,1
15-03-2020,SANTA FE,1
15-03-2020,SAN LUIS,1
15-03-2020,CHUBUT,1
15-03-2020,CÓRDOBA,2
15-03-2020,TIERRA DEL FUEGO,2
15-03-2020,CHACO,7
15-03-2020,BUENOS AIRES,12
15-03-2020,CABA,29
16-03-2020,RÍO NEGRO,1
16-03-2020,SANTA FE,1
16-03-2020,SAN LUIS,1
16-03-2020,CHUBUT,1
16-03-2020,CÓRDOBA,2
16-03-2020,TIERRA DEL FUEGO,2
16-03-2020,CHACO,10
16-03-2020,BUENOS AIRES,13
16-03-2020,CABA,34
17-03-2020,SANTA FE,1
17-03-2020,SANTA CRUZ,1
17-03-2020,ENTRE RÍOS,1
17-03-2020,SAN LUIS,1
17-03-2020,JUJUY,1
17-03-2020,CHUBUT,1
17-03-2020,SALTA,1
17-03-2020,RÍO NEGRO,2
17-03-2020,TIERRA DEL FUEGO,2
17-03-2020,CÓRDOBA,3
17-03-2020,CHACO,11
17-03-2020,BUENOS AIRES,14
17-03-2020,CABA,38
18-03-2020,SANTA FE,1
18-03-2020,SANTA CRUZ,1
18-03-2020,SAN LUIS,1
18-03-2020,JUJUY,1
18-03-2020,CHUBUT,1
18-03-2020,SALTA,1
18-03-2020,RÍO NEGRO,2
18-03-2020,TIERRA DEL FUEGO,2
18-03-2020,ENTRE RÍOS,2
18-03-2020,CÓRDOBA,4
18-03-2020,CHACO,12
18-03-2020,BUENOS AIRES,20
18-03-2020,CABA,48
19-03-2020,SANTA CRUZ,1
19-03-2020,TUCUMÁN,1
19-03-2020,SAN LUIS,1
19-03-2020,JUJUY,1
19-03-2020,SALTA,1
19-03-2020,SANTA FE,2
19-03-2020,TIERRA DEL FUEGO,2
19-03-2020,ENTRE RÍOS,2
19-03-2020,CHUBUT,2
19-03-2020,RÍO NEGRO,3
19-03-2020,CÓRDOBA,7
19-03-2020,CHACO,14
19-03-2020,BUENOS AIRES,35
19-03-2020,CABA,56
20-03-2020,CORRIENTES,1
20-03-2020,SANTA CRUZ,1
20-03-2020,TUCUMÁN,1
20-03-2020,SANTIAGO DEL ESTERO,1
20-03-2020,SAN LUIS,1
20-03-2020,JUJUY,1
20-03-2020,SALTA,1
20-03-2020,SANTA FE,2
20-03-2020,NEUQUÉN,2
20-03-2020,CHUBUT,2
20-03-2020,RÍO NEGRO,3
20-03-2020,TIERRA DEL FUEGO,3
20-03-2020,ENTRE RÍOS,3
20-03-2020,CÓRDOBA,12
20-03-2020,CHACO,15
20-03-2020,BUENOS AIRES,44
20-03-2020,CABA,65
21-03-2020,SANTA CRUZ,1
21-03-2020,SANTIAGO DEL ESTERO,1
21-03-2020,SAN LUIS,1
21-03-2020,JUJUY,1
21-03-2020,SALTA,1
21-03-2020,NEUQUÉN,2
21-03-2020,TUCUMÁN,2
21-03-2020,CHUBUT,2
21-03-2020,CORRIENTES,3
21-03-2020,ENTRE RÍOS,3
21-03-2020,RÍO NEGRO,4
21-03-2020,SANTA FE,4
21-03-2020,MENDOZA,5
21-03-2020,TIERRA DEL FUEGO,6
21-03-2020,CÓRDOBA,16
21-03-2020,CHACO,20
21-03-2020,BUENOS AIRES,59
21-03-2020,CABA,94
22-03-2020,SANTA CRUZ,1
22-03-2020,MISIONES,1
22-03-2020,SANTIAGO DEL ESTERO,1
22-03-2020,SAN LUIS,1
22-03-2020,JUJUY,1
22-03-2020,SALTA,1
22-03-2020,NEUQUÉN,2
22-03-2020,CHUBUT,2
22-03-2020,CORRIENTES,3
22-03-2020,ENTRE RÍOS,3
22-03-2020,RÍO NEGRO,4
22-03-2020,SANTA FE,4
22-03-2020,MENDOZA,5
22-03-2020,TIERRA DEL FUEGO,6
22-03-2020,TUCUMÁN,7
22-03-2020,CÓRDOBA,24
22-03-2020,CHACO,27
22-03-2020,BUENOS AIRES,67
22-03-2020,CABA,106
23-03-2020,SANTA CRUZ,1
23-03-2020,MISIONES,1
23-03-2020,SANTIAGO DEL ESTERO,1
23-03-2020,SAN LUIS,1
23-03-2020,JUJUY,1
23-03-2020,SALTA,1
23-03-2020,NEUQUÉN,2
23-03-2020,CHUBUT,2
23-03-2020,CORRIENTES,3
23-03-2020,ENTRE RÍOS,3
23-03-2020,RÍO NEGRO,4
23-03-2020,MENDOZA,5
23-03-2020,TIERRA DEL FUEGO,6
23-03-2020,TUCUMÁN,7
23-03-2020,SANTA FE,17
23-03-2020,CÓRDOBA,27
23-03-2020,CHACO,31
23-03-2020,BUENOS AIRES,72
23-03-2020,CABA,117
24-03-2020,MISIONES,1
24-03-2020,SANTIAGO DEL ESTERO,1
24-03-2020,SAN LUIS,1
24-03-2020,JUJUY,1
24-03-2020,LA PAMPA,1
24-03-2020,SALTA,1
24-03-2020,SANTA CRUZ,2
24-03-2020,CHUBUT,2
24-03-2020,NEUQUÉN,3
24-03-2020,CORRIENTES,3
24-03-2020,ENTRE RÍOS,3
24-03-2020,RÍO NEGRO,4
24-03-2020,MENDOZA,5
24-03-2020,TUCUMÁN,7
24-03-2020,TIERRA DEL FUEGO,9
24-03-2020,SANTA FE,20
24-03-2020,CÓRDOBA,34
24-03-2020,CHACO,40
24-03-2020,BUENOS AIRES,101
24-03-2020,CABA,146
25-03-2020,MISIONES,1
25-03-2020,SANTIAGO DEL ESTERO,1
25-03-2020,JUJUY,1
25-03-2020,LA PAMPA,1
25-03-2020,SALTA,1
25-03-2020,CHUBUT,2
25-03-2020,CORRIENTES,3
25-03-2020,RÍO NEGRO,4
25-03-2020,NEUQUÉN,4
25-03-2020,SAN LUIS,5
25-03-2020,MENDOZA,6
25-03-2020,ENTRE RÍOS,6
25-03-2020,SANTA CRUZ,7
25-03-2020,TUCUMÁN,9
25-03-2020,TIERRA DEL FUEGO,10
25-03-2020,SANTA FE,42
25-03-2020,CÓRDOBA,49
25-03-2020,CHACO,53
25-03-2020,BUENOS AIRES,131
